CARGA;;DESCARGA;
Tiempo (s) ;Voltaje (v);>;Voltaje (v)
0;0;0;13.4
5;2.85;5;10.26
10;5.05;10;8.08
15;6.6;15;6.59
20;7.94;20;5.34
25;9.1;25;4.23
30;9.81;30;3.39
35;10.59;35;2.87
40;11.2;40;2.21
45;11.55;45;1.8
50;11.94;50;1.38
55;12.18;55;1.14
60;12.42;60;0.95
65;12.6;65;0.74
70;12.74;70;0.61
75;12.86;75;0.51
80;12.96;80;0.42
85;13.03;85;0.34
90;13.1;90;0.28
95;13.15;95;0.23
100;13.18;100;0.19
105;13.22;105;0.16
110;13.25;110;0.14
115;13.27;115;0.12
120;13.29;120;0.1
125;13.3;125;0.08
130;13.32;130;0.07
135;13.33;135;0.06
140;13.34;140;0.05
145;13.35;145;0.04
150;13.35;150;0.04
155;13.35;155;0.03
160;13.36;160;0.03
165;13.36;165;0.03
170;13.37;170;0.02
175;13.37;175;0.02
180;13.37;180;0.02
185;13.37;185;0.02
190;13.38;190;0.02
195;13.38;195;0.02
200;13.38;200;0.02
205;13.38;205;0.02
210;13.38;210;0.01
215;13.38;215;0.01
220;13.38;220;0.01
225;13.38;225;0.01
230;13.38;230;0.01
235;13.38;235;0.01
240;13.38;240;0.01
245;13.39;245;0.01
250;13.39;250;0.01
255;13.39;255;0.01
260;13.39;260;0.01
265;13.39;265;0.01
270;13.39;270;0.01
275;13.39;275;0.01
280;13.39;280;0.01
285;13.39;285;0.01
290;13.39;290;0.01
295;13.39;295;0.01
300;13.39;300;0.01
305;13.39;;
310;13.39;;
315;13.39;;
320;13.39;;
325;13.39;;
330;13.39;;
335;13.39;;
340;13.39;;
345;13.39;;
350;13.39;;
355;13.39;;
360;13.39;;
365;13.39;;
370;13.39;;
375;13.39;;
380;13.39;;
385;13.39;;
390;13.39;;
395;13.39;;
400;13.39;;
405;13.39;;
410;13.39;;
415;13.39;;
420;13.39;;
425;13.39;;
430;13.39;;
435;13.39;;
440;13.39;;
445;13.39;;
450;13.39;;
455;13.39;;
460;13.39;;
465;13.39;;
470;13.39;;
475;13.39;;
480;13.39;;
485;13.4;;
490;13.4;;
495;13.4;;
500;13.4;;
505;13.4;;
510;13.4;;
515;13.4;;
520;13.4;;
525;13.4;;
530;13.4;;
535;13.4;;
540;13.4;;
545;13.4;;
550;13.4;;
555;13.4;;
560;13.4;;
565;13.4;;
570;13.4;;
575;13.4;;
580;13.4;;
585;13.4;;
590;13.4;;
595;13.4;;
600;13.4;;
